Indicator Name,Long definition,Topic (In Health),Unit of measure,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions
"Maternal mortality ratio (national estimate, per 100,000 live births)","Maternal mortality ratio is the number of women who die from pregnancy-related causes while pregnant or within 42 days of pregnancy termination per 100,000 live births.", Reproductive health,,,"Methodology: The national estimates of maternal mortality ratios are based on national surveys, vital registration records, and surveillance data or are derived from community and hospital records.
Statistical concept(s): Reproductive health is a state of physical and mental well-being in relation to the reproductive system and its functions and processes. Means of achieving reproductive health include education and services during pregnancy and childbirth, safe and effective contraception, and prevention and treatment of sexually transmitted diseases. Complications of pregnancy and childbirth are the leading cause of death and disability among women of reproductive age in developing countries. Maternal mortality ratios are generally of unknown reliability, as are many other cause-specific mortality indicators. Household surveys such as Demographic and Health Surveys attempt to measure maternal mortality by asking respondents about survivorship of sisters. The main disadvantage of this method is that the estimates of maternal mortality that it produces pertain to any time within the past few years before the survey, making them unsuitable for monitoring recent changes or observing the impact of interventions. In addition, measurement of maternal mortality is subject to many types of errors. Even in high-income countries with reliable vital registration systems, misclassification of maternal deaths has been found to lead to serious underestimation.","Childbirth should be a time of life, not death. And yet, many women die due to complications of pregnancy and childbirth. Nearly every death is in low- and middle-income countries, and nearly every death is preventable where the clinical knowledge and technology required to prevent them have existed. However these solutions are often not available, not accessible or not implemented, especially in low-resource settings and/or subpopulations at greater risk due to social determinants.","Maternal mortality ratios are generally of unknown reliability, as are many other cause-specific mortality indicators. The ratios cannot be assumed to provide an exact estimate of maternal mortality. Some of the figures shown were adjusted by the Maternal Mortality Estimation Inter-Agency Group (MMEIG) to enhance reliability, so that they may differ from the published figures from sources such as household surveys."
Newborns protected against tetanus (%),Newborns protected against tetanus are the percentage of births by women of child-bearing age who are immunized against tetanus., Reproductive health,Percentage,Weighted average,"Methodology: The data shown here are based on an assessment of national immunization coverage rates by the WHO and UNICEF. The assessment considered both administrative data from service providers and household survey data on children's immunization histories. Based on the data available, consideration of potential biases, and contributions of local experts, the most likely true level of immunization coverage was determined for each year.
Statistical concept(s): Governments in developing countries usually finance immunization against measles and diphtheria, pertussis (whooping cough), and tetanus (DTP) as part of the basic public health package.","Immunization is one of the most cost-effective public health interventions, and ??is an essential component for reducing under-five mortality. Immunization coverage estimates are used to monitor coverage of immunization services and to guide disease eradication and elimination efforts.",
Number of maternal deaths,"A maternal death refers to the death of a woman while pregnant or within 42 days of termination of pregnancy, irrespective of the duration and site of the pregnancy, from any cause related to or aggravated by the pregnancy or its management but not from accidental or incidental causes.", Reproductive health,Unit,Sum,"Methodology: The estimates are based on an exercise by the Maternal Mortality Estimation Inter-Agency Group (MMEIG) which consists of World Health Organization (WHO), United Nations Children's Fund (UNICEF), World Bank, and United Nations Population Fund (UNFPA), and include country-level time series data. For countries without complete registration data but with other types of data and for countries with no data, maternal mortality is estimated with a regression model using available national maternal mortality data and socioeconomic information.
Statistical concept(s): Reproductive health is a state of physical and mental well-being in relation to the reproductive system and its functions and processes. Means of achieving reproductive health include education and services during pregnancy and childbirth, safe and effective contraception, and prevention and treatment of sexually transmitted diseases. Complications of pregnancy and childbirth are the leading cause of death and disability among women of reproductive age in developing countries.
Maternal mortality is generally of unknown reliability, as are many other cause-specific mortality indicators. Household surveys such as Demographic and Health Surveys attempt to measure maternal mortality by asking respondents about survivorship of sisters. The main disadvantage of this method is that the estimates of maternal mortality that it produces pertain to any time within the past few years before the survey, making them unsuitable for monitoring recent changes or observing the impact of interventions. In addition, measurement of maternal mortality is subject to many types of errors. Even in high-income countries with reliable vital registration systems, misclassification of maternal deaths has been found to lead to serious underestimation.","Childbirth should be a time of life, not death. And yet, many women die due to complications of pregnancy and childbirth. Nearly every death is in low- and middle-income countries, and nearly every death is preventable where the clinical knowledge and technology required to prevent them have existed. However these solutions are often not available, not accessible or not implemented, especially in low-resource settings and/or subpopulations at greater risk due to social determinants.","The methodology differs from that used for previous estimates, so data should not be compared historically. Maternal mortality ratios are generally of unknown reliability, as are many other cause-specific mortality indicators. The figures cannot be assumed to provide exact estimates."
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,Number of adults (ages 15+) and children (ages 0-14) newly infected with HIV., Risk factors,Number,,"Methodology: Methods for monitoring HIV incidence vary depending on the epidemic setting and are typically categorized as either direct or indirect measures. Direct measurement at a population level is preferred but often difficult to obtain. Consequently, most countries rely on indirect measures or a combination of both.
Direct measurement strategies include longitudinal follow-up and repeat testing among individuals without HIV infection, as well as estimation using laboratory tests for recent HIV infection and clinical data. However, longitudinal monitoring is costly and complex, requiring nationally representative population-based surveys.
Indirect methods frequently rely on estimates constructed from mathematical modeling tools, such as Spectrum or the AIDS Epidemic Model. These models incorporate geographical and population-specific HIV surveys, surveillance, case reporting, mortality, program and clinical data, and sometimes assumptions about risk behavior and HIV transmission. Countries may also triangulate these data with other sources, such as serial population-based HIV prevalence estimates or estimates of HIV prevalence in young, recently exposed populations.
It is important to note that case-based surveillance systems capturing newly reported HIV infections should not be used as a direct source for estimating the number of new infections in the reporting year due to reporting delays and underdiagnosis. However, this information can be useful for triangulation or validation purposes, especially when combined with tests for the recency of HIV infection.","Despite the existence of effective medications and treatment, HIV/AIDS is still a leading cause of death and public health threat in the world.  Low and middle income countries continue to bear a disproportionate share of the global burden of HIV/AIDS. The incidence rate provides a measure of progress toward preventing onward transmission of HIV. Also, the identification of newly infected persons will allow for interventions to reduce the risk of HIV transmission.",
Adults (ages 15-49) newly infected with HIV,Number of adults (ages 15-49) newly infected with HIV., Risk factors,Number,,"Methodology: Methods for monitoring HIV incidence vary depending on the epidemic setting and are typically categorized as either direct or indirect measures. Direct measurement at a population level is preferred but often difficult to obtain. Consequently, most countries rely on indirect measures or a combination of both.
Direct measurement strategies include longitudinal follow-up and repeat testing among individuals without HIV infection, as well as estimation using laboratory tests for recent HIV infection and clinical data. However, longitudinal monitoring is costly and complex, requiring nationally representative population-based surveys.
Indirect methods frequently rely on estimates constructed from mathematical modeling tools, such as Spectrum or the AIDS Epidemic Model. These models incorporate geographical and population-specific HIV surveys, surveillance, case reporting, mortality, program and clinical data, and sometimes assumptions about risk behavior and HIV transmission. Countries may also triangulate these data with other sources, such as serial population-based HIV prevalence estimates or estimates of HIV prevalence in young, recently exposed populations.
It is important to note that case-based surveillance systems capturing newly reported HIV infections should not be used as a direct source for estimating the number of new infections in the reporting year due to reporting delays and underdiagnosis. However, this information can be useful for triangulation or validation purposes, especially when combined with tests for the recency of HIV infection.","Despite the existence of effective medications and treatment, HIV/AIDS is still a leading cause of death and public health threat in the world.  Low and middle income countries continue to bear a disproportionate share of the global burden of HIV/AIDS. The incidence rate provides a measure of progress toward preventing onward transmission of HIV. Also, the identification of newly infected persons will allow for interventions to reduce the risk of HIV transmission.",
Antiretroviral therapy coverage (% of people living with HIV),Antiretroviral therapy coverage indicates the percentage of all people living with HIV who are receiving antiretroviral therapy., Risk factors,,Weighted average,"Methodology: Data on HIV are from the Joint United Nations Programme on HIV/AIDS (UNAIDS). Changes in procedures and assumptions for estimating the data and better coordination with countries have resulted in improved estimates of HIV and AIDS.
Antiretroviral therapy has led to huge reductions in death and suffering of people with advanced HIV infection.",,The limited availability of data on health status is a major constraint in assessing the health situation in developing countries. Surveillance data are lacking for many major public health concerns. Estimates of prevalence and incidence are available for some diseases but are often unreliable and incomplete. National health authorities differ widely in capacity and willingness to collect or report information.
Children (0-14) living with HIV,Children living with HIV refers to the number of children ages 0-14 who are infected with HIV., Risk factors,Number,,"Methodology: HIV prevalence rates reflect the rate of HIV infection in each country's population. Low national prevalence rates can be misleading, however. They often disguise epidemics that are initially concentrated in certain localities or population groups and threaten to spill over into the wider population. In many developing countries most new infections occur in young adults, with young women especially vulnerable.
Data on HIV are from the Joint United Nations Programme on HIV/AIDS (UNAIDS). Changes in procedures and assumptions for estimating the data and better coordination with countries have resulted in improved estimates of HIV and AIDS. The models, which are routinely updated, track the course of HIV epidemics and their impact, making full use of information in HIV prevalence trends from surveillance data as well as survey data. The models take into account reduced infectivity among people receiving antiretroviral therapy (which is having a larger impact on HIV prevalence and allowing HIV-positive people to live longer) and allow for changes in urbanization over time in generalized epidemics. The estimates include plausibility bounds, which reflect the certainty associated with each of the estimates.",,
Children (ages 0-14) newly infected with HIV,Number of children (ages 0-14) newly infected with HIV., Risk factors,Number,,"Methodology: Methods for monitoring HIV incidence vary depending on the epidemic setting and are typically categorized as either direct or indirect measures. Direct measurement at a population level is preferred but often difficult to obtain. Consequently, most countries rely on indirect measures or a combination of both.
Direct measurement strategies include longitudinal follow-up and repeat testing among individuals without HIV infection, as well as estimation using laboratory tests for recent HIV infection and clinical data. However, longitudinal monitoring is costly and complex, requiring nationally representative population-based surveys.
Indirect methods frequently rely on estimates constructed from mathematical modeling tools, such as Spectrum or the AIDS Epidemic Model. These models incorporate geographical and population-specific HIV surveys, surveillance, case reporting, mortality, program and clinical data, and sometimes assumptions about risk behavior and HIV transmission. Countries may also triangulate these data with other sources, such as serial population-based HIV prevalence estimates or estimates of HIV prevalence in young, recently exposed populations.
It is important to note that case-based surveillance systems capturing newly reported HIV infections should not be used as a direct source for estimating the number of new infections in the reporting year due to reporting delays and underdiagnosis. However, this information can be useful for triangulation or validation purposes, especially when combined with tests for the recency of HIV infection.","Despite the existence of effective medications and treatment, HIV/AIDS is still a leading cause of death and public health threat in the world.  Low and middle income countries continue to bear a disproportionate share of the global burden of HIV/AIDS. The incidence rate provides a measure of progress toward preventing onward transmission of HIV. Also, the identification of newly infected persons will allow for interventions to reduce the risk of HIV transmission.",
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","Number of new HIV infections among uninfected populations ages 15-24 expressed per 1,000 uninfected population ages 15-24 in the year before the period.", Risk factors,,Weighted average,"Methodology: Data on incidence of HIV are from the Joint United Nations Programme on HIV/AIDS. Because of challenges in collecting direct measures of HIV incidence, modelled estimates are used (the Spectrum software). The models incorporate data on HIV prevalence from surveys of the general population, antenatal clinic attendees, and populations at increased risk of contracting HIV (such as sex workers, men who have sex with men, and people who inject drugs) and on the number of people receiving antiretroviral therapy, which will increase the prevalence of HIV because people living with HIV now survive longer. In countries with high-quality health information systems the models are also informed by case reporting and vital registration data.","Despite the existence of effective medications and treatment, HIV/AIDS is still a leading cause of death and public health threat in the world.  Low and middle income countries continue to bear a disproportionate share of the global burden of HIV/AIDS. The incidence rate provides a measure of progress toward preventing onward transmission of HIV. Also, the identification of newly infected persons will allow for interventions to reduce the risk of HIV transmission.",
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Number of new HIV infections among uninfected populations ages 15-49 expressed per 1,000 uninfected population in the year before the period.", Risk factors,,Weighted average,"Methodology: Data on incidence of HIV are from the Joint United Nations Programme on HIV/AIDS. Because of challenges in collecting direct measures of HIV incidence, modelled estimates are used (the Spectrum software). The models incorporate data on HIV prevalence from surveys of the general population, antenatal clinic attendees, and populations at increased risk of contracting HIV (such as sex workers, men who have sex with men, and people who inject drugs) and on the number of people receiving antiretroviral therapy, which will increase the prevalence of HIV because people living with HIV now survive longer. In countries with high-quality health information systems the models are also informed by case reporting and vital registration data.","Despite the existence of effective medications and treatment, HIV/AIDS is still a leading cause of death and public health threat in the world.  Low and middle income countries continue to bear a disproportionate share of the global burden of HIV/AIDS. The incidence rate provides a measure of progress toward preventing onward transmission of HIV. Also, the identification of newly infected persons will allow for interventions to reduce the risk of HIV transmission.",
"Incidence of HIV, all (per 1,000 uninfected population)","Number of new HIV infections among uninfected populations expressed per 1,000 uninfected population in the year before the period.", Risk factors,,Weighted average,"Methodology: Data on incidence of HIV are from the Joint United Nations Programme on HIV/AIDS. Because of challenges in collecting direct measures of HIV incidence, modelled estimates are used (the Spectrum software). The models incorporate data on HIV prevalence from surveys of the general population, antenatal clinic attendees, and populations at increased risk of contracting HIV (such as sex workers, men who have sex with men, and people who inject drugs) and on the number of people receiving antiretroviral therapy, which will increase the prevalence of HIV because people living with HIV now survive longer. In countries with high-quality health information systems the models are also informed by case reporting and vital registration data.","Despite the existence of effective medications and treatment, HIV/AIDS is still a leading cause of death and public health threat in the world.  Low and middle income countries continue to bear a disproportionate share of the global burden of HIV/AIDS. The incidence rate provides a measure of progress toward preventing onward transmission of HIV. Also, the identification of newly infected persons will allow for interventions to reduce the risk of HIV transmission.",
"Incidence of malaria (per 1,000 population at risk)","Incidence of malaria is the number of new cases of malaria in a year per 1,000 population at risk.", Risk factors,Per 1000 population at risk,Weighted average,"Methodology: Confirmed malaria cases for countries and areas outside Africa, and for low-transmission countries and areas in Africa are adjusted for extent of health service use (treatment seeking), underreporting and lack of case confirmation (the likelihood that cases are parasite positive). In high transmission areas in which the quality of surveillance data does not permit a robust estimate from the number of reported cases, but good data on parasite prevalence is available, the number of cases can be estimated from parasite prevalence. The denominator is estimated, using official UN population and population at risk estimates for countries with sub-national endemicity.
Statistical concept(s): Complete data on malaria cases reported through surveillance systems are the best source of data but are rarely available for large populations at high quality and accuracy. Reported data on malaria cases generally need to be adjusted for extent of health service use (treatment seeking), underreporting and lack of case confirmation (the likelihood that cases are parasite positive). WHO compiles data on reported confirmed cases of malaria and suspected cases tested with microscopy or RDT, submitted by national malaria control programmes. Underreporting is reported or estimated by countries. The extent of health service use (treatment seeking) data were obtained from nationally representative household surveys on health service use.","Malaria is a life-threatening disease caused by parasites that are transmitted to people through the bites of infected female Anopheles mosquitoes. It is preventable and curable. There are 5 parasite species that cause malaria in humans, and 2 of these species – Plasmodium falciparum and Plasmodium vivax – pose the greatest threat.",
"Incidence of tuberculosis (per 100,000 people)","Incidence of tuberculosis is the estimated number of new and relapse tuberculosis cases arising in a given year, expressed as the rate per 100,000 population. All forms of TB are included, including cases in people living with HIV. Estimates for all years are recalculated as new information becomes available and techniques are refined, so they may differ from those published previously.", Risk factors,"Per 100,000 people",Weighted average,"Methodology: Estimates of TB incidence are produced through a consultative and analytical process led by WHO and are published annually. These estimates are based on annual case notifications, assessments of the quality and coverage of TB notification data, national surveys of the prevalence of TB disease and on information from death (vital) registration systems.
Statistical concept(s): Tuberculosis is one of the main causes of adult deaths from a single infectious agent in developing countries. In developed countries tuberculosis has reemerged largely as a result of cases among immigrants. Since tuberculosis incidence cannot be directly measured, estimates are obtained by eliciting expert opinion or are derived from measurements of prevalence or mortality.",Tuberculosis (TB) is a preventable and usually curable disease. Yet TB is one of the world’s leading causes of death from a single infectious agent. Millions of people continue to fall ill with TB every year.,"The limited availability of data on health status is a major constraint in assessing the health situation in developing countries. Surveillance data are lacking for many major public health concerns. Estimates of prevalence and incidence are available for some diseases but are often unreliable and incomplete. National health authorities differ widely in capacity and willingness to collect or report information. To compensate for this and improve reliability and international comparability, the World Health Organization (WHO) prepares estimates in accordance with epidemiological models and statistical standards.

Uncertainty bounds for the incidence are available at http://data.worldbank.org"
People practicing open defecation (% of population),"People practicing open defecation refers to the percentage of the population defecating in the open, such as in fields, forest, bushes, open bodies of water, on beaches, in other open spaces or disposed of with solid waste.", Risk factors,% of population,Weighted average,"Methodology: The data sources for sanitation services are household surveys such as Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS), administrative data, census, and other datasets such as compilations by international or regional initiatives (e.g., IB-NET) or studies conducted by research institutions. Based on these national datasets, JMP estimates the proportion of the people accessing different levels of services by using linear regression. You can find the details of estimates including the rules on interpolation, extrapolation and extension in the JMP’s methodology report (https://washdata.org/reports/jmp-2017-methodology).
Statistical concept(s): The JMP classifies the sanitation service levels into five tiers, ranging from the most to the least favorable: safely managed, basic, limited, unimproved, and open defecation (Reference: https://washdata.org/monitoring/sanitation).","Access to sanitation is a fundamental human right. Open defecation, which is the practice of relieving oneself outside without proper facilities, is a violation of human dignity and poses a significant threat to public health and nutrition. Poor sanitation is a leading cause of infectious diseases globally, and enhancing sanitation services has been proven to have a substantial positive effect on health outcomes. The provision of basic and safely managed sanitation can decrease the incidence of diarrheal diseases and mitigate the health consequences of other serious illnesses that cause widespread morbidity and mortality among children. Diarrheal conditions and parasitic infections debilitate children, increasing their vulnerability to malnutrition and secondary infections such as pneumonia, measles, and malaria.

















The absence of adequate sanitation is especially harmful to women who are forced to defecate in the open, as it compromises their privacy and exposes them to a greater risk of assault and violence. The elimination of open defecation is a specific target within the Sustainable Development Goals (SDG target 6.2), underscoring the international commitment to addressing this critical issue.","National, regional and income group estimates are made when data are available for at least 50 percent of the population."
"People practicing open defecation, rural (% of rural population)","People practicing open defecation refers to the percentage of the population defecating in the open, such as in fields, forest, bushes, open bodies of water, on beaches, in other open spaces or disposed of with solid waste.", Risk factors,% of rural population,Weighted average,"Methodology: The data sources for sanitation services are household surveys such as Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS), administrative data, census, and other datasets such as compilations by international or regional initiatives (e.g., IB-NET) or studies conducted by research institutions. Based on these national datasets, JMP estimates the proportion of the people accessing different levels of services by using linear regression. You can find the details of estimates including the rules on interpolation, extrapolation and extension in the JMP’s methodology report (https://washdata.org/reports/jmp-2017-methodology).
Statistical concept(s): The JMP classifies the sanitation service levels into five tiers, ranging from the most to the least favorable: safely managed, basic, limited, unimproved, and open defecation (Reference: https://washdata.org/monitoring/sanitation).","Access to sanitation is a fundamental human right. Open defecation, which is the practice of relieving oneself outside without proper facilities, is a violation of human dignity and poses a significant threat to public health and nutrition. Poor sanitation is a leading cause of infectious diseases globally, and enhancing sanitation services has been proven to have a substantial positive effect on health outcomes. The provision of basic and safely managed sanitation can decrease the incidence of diarrheal diseases and mitigate the health consequences of other serious illnesses that cause widespread morbidity and mortality among children. Diarrheal conditions and parasitic infections debilitate children, increasing their vulnerability to malnutrition and secondary infections such as pneumonia, measles, and malaria.

















The absence of adequate sanitation is especially harmful to women who are forced to defecate in the open, as it compromises their privacy and exposes them to a greater risk of assault and violence. The elimination of open defecation is a specific target within the Sustainable Development Goals (SDG target 6.2), underscoring the international commitment to addressing this critical issue.","National, regional and income group estimates are made when data are available for at least 50 percent of the population."
"People practicing open defecation, urban (% of urban population)","People practicing open defecation refers to the percentage of the population defecating in the open, such as in fields, forest, bushes, open bodies of water, on beaches, in other open spaces or disposed of with solid waste.", Risk factors,% of urban population,Weighted average,"Methodology: The data sources for sanitation services are household surveys such as Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS), administrative data, census, and other datasets such as compilations by international or regional initiatives (e.g., IB-NET) or studies conducted by research institutions. Based on these national datasets, JMP estimates the proportion of the people accessing different levels of services by using linear regression. You can find the details of estimates including the rules on interpolation, extrapolation and extension in the JMP’s methodology report (https://washdata.org/reports/jmp-2017-methodology).
Statistical concept(s): The JMP classifies the sanitation service levels into five tiers, ranging from the most to the least favorable: safely managed, basic, limited, unimproved, and open defecation (Reference: https://washdata.org/monitoring/sanitation).","Access to sanitation is a fundamental human right. Open defecation, which is the practice of relieving oneself outside without proper facilities, is a violation of human dignity and poses a significant threat to public health and nutrition. Poor sanitation is a leading cause of infectious diseases globally, and enhancing sanitation services has been proven to have a substantial positive effect on health outcomes. The provision of basic and safely managed sanitation can decrease the incidence of diarrheal diseases and mitigate the health consequences of other serious illnesses that cause widespread morbidity and mortality among children. Diarrheal conditions and parasitic infections debilitate children, increasing their vulnerability to malnutrition and secondary infections such as pneumonia, measles, and malaria.

















The absence of adequate sanitation is especially harmful to women who are forced to defecate in the open, as it compromises their privacy and exposes them to a greater risk of assault and violence. The elimination of open defecation is a specific target within the Sustainable Development Goals (SDG target 6.2), underscoring the international commitment to addressing this critical issue.","National, regional and income group estimates are made when data are available for at least 50 percent of the population."
"Prevalence of HIV, female (% ages 15-24)","Prevalence of HIV, female is the percentage of females who are infected with HIV. Youth rates are as a percentage of the relevant age group.", Risk factors,,Weighted average,"Methodology: HIV prevalence rates reflect the rate of HIV infection in each country's population. Low national prevalence rates can be misleading, however. They often disguise epidemics that are initially concentrated in certain localities or population groups and threaten to spill over into the wider population. In many developing countries most new infections occur in young adults, with young women especially vulnerable.
Data on HIV are from the Joint United Nations Programme on HIV/AIDS (UNAIDS). Changes in procedures and assumptions for estimating the data and better coordination with countries have resulted in improved estimates of HIV and AIDS. The models, which are routinely updated, track the course of HIV epidemics and their impact, making full use of information in HIV prevalence trends from surveillance data as well as survey data. The models take into account reduced infectivity among people receiving antiretroviral therapy (which is having a larger impact on HIV prevalence and allowing HIV-positive people to live longer) and allow for changes in urbanization over time in generalized epidemics. The estimates include plausibility bounds, which reflect the certainty associated with each of the estimates.",,The limited availability of data on health status is a major constraint in assessing the health situation in developing countries. Surveillance data are lacking for many major public health concerns. Estimates of prevalence and incidence are available for some diseases but are often unreliable and incomplete. National health authorities differ widely in capacity and willingness to collect or report information.
"Prevalence of HIV, male (% ages 15-24)","Prevalence of HIV, male is the percentage of males who are infected with HIV. Youth rates are as a percentage of the relevant age group.", Risk factors,,Weighted average,"Methodology: HIV prevalence rates reflect the rate of HIV infection in each country's population. Low national prevalence rates can be misleading, however. They often disguise epidemics that are initially concentrated in certain localities or population groups and threaten to spill over into the wider population. In many developing countries most new infections occur in young adults, with young women especially vulnerable.
Data on HIV are from the Joint United Nations Programme on HIV/AIDS (UNAIDS). Changes in procedures and assumptions for estimating the data and better coordination with countries have resulted in improved estimates of HIV and AIDS. The models, which are routinely updated, track the course of HIV epidemics and their impact, making full use of information in HIV prevalence trends from surveillance data as well as survey data. The models take into account reduced infectivity among people receiving antiretroviral therapy (which is having a larger impact on HIV prevalence and allowing HIV-positive people to live longer) and allow for changes in urbanization over time in generalized epidemics. The estimates include plausibility bounds, which reflect the certainty associated with each of the estimates.",,The limited availability of data on health status is a major constraint in assessing the health situation in developing countries. Surveillance data are lacking for many major public health concerns. Estimates of prevalence and incidence are available for some diseases but are often unreliable and incomplete. National health authorities differ widely in capacity and willingness to collect or report information.
"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of HIV refers to the percentage of people ages 15-49 who are infected with HIV., Risk factors,Percentage,Weighted average,"Methodology: Data on HIV are from the Joint United Nations Programme on HIV/AIDS (UNAIDS). Changes in procedures and assumptions for estimating the data and better coordination with countries have resulted in improved estimates of HIV and AIDS. The models, which are routinely updated, track the course of HIV epidemics and their impact, making full use of information in HIV prevalence trends from surveillance data as well as survey data. The models take into account reduced infectivity among people receiving antiretroviral therapy (which is having a larger impact on HIV prevalence and allowing HIV-positive people to live longer) and allow for changes in urbanization over time in generalized epidemics. The estimates include plausibility bounds, which reflect the certainty associated with each of the estimates.
Statistical concept(s): HIV prevalence rates reflect the rate of HIV infection in each country's population. Low national prevalence rates can be misleading, however. They often disguise epidemics that are initially concentrated in certain localities or population groups and threaten to spill over into the wider population. In many developing countries most new infections occur in young adults, with young women especially vulnerable.","Despite the existence of effective medications and treatment, HIV/AIDS is still a leading cause of death and public health threat in the world.  Low and middle income countries continue to bear a disproportionate share of the global burden of HIV/AIDS.",The limited availability of data on health status is a major constraint in assessing the health situation in developing countries. Surveillance data are lacking for many major public health concerns. Estimates of prevalence and incidence are available for some diseases but are often unreliable and incomplete. National health authorities differ widely in capacity and willingness to collect or report information.
Risk of catastrophic expenditure for surgical care (% of people at risk),The proportion of population at risk of catastrophic expenditure when surgical care is required. Catastrophic expenditure is defined as direct out of pocket payments for surgical and anaesthesia care exceeding 10% of total income., Risk factors,Percentage,Weighted average,"Methodology: The probability of experiencing impoverishment when surgical care is required and the probability of experiencing catastrophic expenditure (10 percent of total income) when surgical care is required.
Statistical concept(s): The Lancet Commission on Global Surgery, assembled in 2013 to assess surgical care around the world. Commissioners engaged in an iterative global consultative process with partners in over 110 countries to develop six core indicators of the strength of a surgical system. Two indicators assess a country’s preparedness to deliver safe surgery and anesthesia,  two assess the current delivery of safe care, and two assess the state of financial risk protection for those seeking surgery.","Billions people lack access to safe and affordable surgical, anesthesia and obstetric (SAO) care while a third of the global burden of disease requires surgical and/or anesthesia decision-making or treatment. Treating the sick very often requires surgery and anesthesia. Despite such huge burden of disease, safe and affordable SAO care is often overlooked.","Prior to 2015, global data on surgery, anesthesia and obstetric care was virtually nonexistent. With the idea that “We can’t manage what we don’t measure”, the Lancet Commission on Global Surgery developed six Surgical, Obstetric and Anesthesia (SAO) indicators and collected data for them. The analysis of these data show large gaps in SAO care across countries by income groups."
Risk of impoverishing expenditure for surgical care (% of people at risk),The proportion of population at risk of impoverishing expenditure when surgical care is required. Impoverishing expenditure is defined as direct out of pocket payments for surgical and anaesthesia care which drive people below a poverty threshold (using a threshold of $2.15 PPP/day)., Risk factors,Percentage,Weighted average,"Methodology: The probability of experiencing impoverishment when surgical care is required and the probability of experiencing catastrophic expenditure (10 percent of total income) when surgical care is required.
Statistical concept(s): The Lancet Commission on Global Surgery, assembled in 2013 to assess surgical care around the world. Commissioners engaged in an iterative global consultative process with partners in over 110 countries to develop six core indicators of the strength of a surgical system. Two indicators assess a country’s preparedness to deliver safe surgery and anesthesia,  two assess the current delivery of safe care, and two assess the state of financial risk protection for those seeking surgery.","Billions people lack access to safe and affordable surgical, anesthesia and obstetric (SAO) care while a third of the global burden of disease requires surgical and/or anesthesia decision-making or treatment. Treating the sick very often requires surgery and anesthesia. Despite such huge burden of disease, safe and affordable SAO care is often overlooked.","Prior to 2015, global data on surgery, anesthesia and obstetric care was virtually nonexistent. With the idea that “We can’t manage what we don’t measure”, the Lancet Commission on Global Surgery developed six Surgical, Obstetric and Anesthesia (SAO) indicators and collected data for them. The analysis of these data show large gaps in SAO care across countries by income groups."
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Total alcohol per capita consumption is defined as the total (sum of recorded and unrecorded alcohol) amount of alcohol consumed per person (15 years of age or older) over a calendar year, in litres of pure alcohol, adjusted for tourist consumption.", Risk factors,,Weighted average,Methodology: The estimates for the total alcohol consumption are produced by summing up the 3-year average per capita (15+) recorded alcohol consumption and an estimate of per capita (15+) unrecorded alcohol consumption for a calendar year. Tourist consumption takes into account tourists visiting the country and inhabitants visiting other countries.,"Acoording to the World Health Organization, alcohol consumption is a causal factor in more than 200 disease and injury conditions. In the world, an estimated 3 million deaths are from harmful use of alcohols every year.   Drinking alcohol is associated with a risk of developing health problems such as mental and behavioural disorders, including alcohol dependence, major noncommunicable diseases such as liver cirrhosis, some cancers and cardiovascular diseases, as well as injuries resulting from violence and road clashes and collisions.",
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","Total alcohol per capita consumption is defined as the total (sum of recorded and unrecorded alcohol) amount of alcohol consumed per person (15 years of age or older) over a calendar year, in litres of pure alcohol, adjusted for tourist consumption.", Risk factors,,Weighted average,Methodology: The estimates for the total alcohol consumption are produced by summing up the 3-year average per capita (15+) recorded alcohol consumption and an estimate of per capita (15+) unrecorded alcohol consumption for a calendar year. Tourist consumption takes into account tourists visiting the country and inhabitants visiting other countries.,"Acoording to the World Health Organization, alcohol consumption is a causal factor in more than 200 disease and injury conditions. In the world, an estimated 3 million deaths are from harmful use of alcohols every year.   Drinking alcohol is associated with a risk of developing health problems such as mental and behavioural disorders, including alcohol dependence, major noncommunicable diseases such as liver cirrhosis, some cancers and cardiovascular diseases, as well as injuries resulting from violence and road clashes and collisions.",
